""	"neglog10_reporter-p_Non-directional"	"neglog10_reporter-p_Distinct-directional (up)"	"neglog10_reporter-p_Distinct-directional (dn)"	"neglog10_reporter-p_Mixed-directional (up)"	"neglog10_reporter-p_Mixed-directional (dn)"	"inv_ConsRank_Non-directional"	"inv_ConsRank_Distinct-directional (up)"	"inv_ConsRank_Distinct-directional (dn)"	"inv_ConsRank_Mixed-directional (up)"	"inv_ConsRank_Mixed-directional (dn)"
"(13Z)-eicosenoyl-CoA (C_p)"	0.375779803275808	0.0894502959175221	0	0.160622524497241	0.160622524497241	0.00047438330170778	0.000557724484104852	0.000485436893203883	0.000491159135559921	0.000491159135559921
"ethanolamine (C_c)"	0.344851957009905	0	0.860372751519362	0.643706378551835	0.643706378551835	0.0004739336492891	0.00044404973357016	0.0021505376344086	0.00100806451612903	0.00100806451612903
"cholesterol (C_l)"	0.297922902448088	0.511054649686029	0	0.0218468842097546	0.0218468842097546	0.000473709142586452	0.00202839756592292	0.000475511174512601	0.00036036036036036	0.00036036036036036
"CMP (C_r)"	0.353243491561843	0.336035374955867	0			0.000473484848484848	0.000950570342205323	0.000475511174512601	0.000310462589257994	0.000310462589257994
"pyridoxine (C_c)"	0.353498249968388	0	0.289891100750072	0.597859032707532	0.597859032707532	0.000473260766682442	0.00044404973357016	0.000763941940412529	0.000904977375565611	0.000904977375565611
"pyridoxamine (C_c)"	0.353498249968388	0	0.289891100750072	0.597859032707532	0.597859032707532	0.000473260766682442	0.00044404973357016	0.000763941940412529	0.000904977375565611	0.000904977375565611
"pyridoxamine-phosphate (C_c)"	0.353498249968388	0	0.289891100750072	0.597859032707532	0.597859032707532	0.000473260766682442	0.00044404973357016	0.000763941940412529	0.000904977375565611	0.000904977375565611
"tRNA(val) (C_c)"	0.350091005835656	0.391121111826984	0			0.000472589792060492	0.00162337662337662	0.000475511174512601	0.000310462589257994	0.000310462589257994
"L-valyl-tRNA(val) (C_c)"	0.350091005835656	0.391121111826984	0			0.000472589792060492	0.00162337662337662	0.000475511174512601	0.000310462589257994	0.000310462589257994
"n2m2nmn (C_l)"	0.317043073698792	0.354961100823135	0	0.0404434868764764	0.0404434868764764	0.000472589792060492	0.00117233294255569	0.000475511174512601	0.00040016006402561	0.00040016006402561
"phosphatidylinositol-3,5-bisphosphate (C_c)"	0.400641016262524	0	0.113204811418801	0.250062811737242	0.250062811737242	0.000472589792060492	0.000476190476190476	0.000619195046439629	0.000565930956423316	0.000565930956423316
"S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-3-thiolactate (C_c)"	0.399724276301079	0	0.766521608068108	0.476656808058701	0.476656808058701	0.000471698113207547	0.00044404973357016	0.00196850393700787	0.000735294117647059	0.000735294117647059
"octanoyl-CoA (C_c)"	0.355039782705164	0.127552352210987	0	0.35314554733782	0.35314554733782	0.000471698113207547	0.000617283950617284	0.000475511174512601	0.000669792364367046	0.000669792364367046
"tetracosanoyl-CoA (C_p)"	0.363532163901235	0.391121111826984	0	0.0812359689720009	0.0812359689720009	0.000471253534401508	0.000961538461538462	0.000475511174512601	0.000432338953739732	0.000432338953739732
"(15Z)-tetracosenoyl-CoA (C_p)"	0.363532163901235	0.391121111826984	0	0.0812359689720009	0.0812359689720009	0.000471253534401508	0.000961538461538462	0.000475511174512601	0.000432338953739732	0.000432338953739732
"[protein]-L-arginine (C_c)"	0.349847956859665	0	0.0622113851966607	0.254542635433208	0.254542635433208	0.000470809792843691	0.00044404973357016	0.000620347394540943	0.000599520383693046	0.000599520383693046
"2-oxoadipate (C_c)"	0.318614021919223	0	0.709119894732838	0.649228816946834	0.649228816946834	0.000470588235294118	0.00044404973357016	0.00178890876565295	0.000980392156862745	0.000980392156862745
"apoA1 (C_c)"	0.343882624261115	0	0.122594096262597	0.476643793345207	0.476643793345207	0.000470366886171214	0.00044404973357016	0.000635324015247776	0.000743494423791822	0.000743494423791822
"globo-H (C_c)"	0.343882624261115	0	0.359389387087639	0.327828225889838	0.327828225889838	0.000470366886171214	0.00044404973357016	0.000938967136150235	0.00066006600660066	0.00066006600660066
