""	"neglog10_reporter-p_Non-directional"	"neglog10_reporter-p_Distinct-directional (up)"	"neglog10_reporter-p_Distinct-directional (dn)"	"neglog10_reporter-p_Mixed-directional (up)"	"neglog10_reporter-p_Mixed-directional (dn)"	"inv_ConsRank_Non-directional"	"inv_ConsRank_Distinct-directional (up)"	"inv_ConsRank_Distinct-directional (dn)"	"inv_ConsRank_Mixed-directional (up)"	"inv_ConsRank_Mixed-directional (dn)"
"GTP (C_s)"	0.751046384504292	0.0361602492443592	0	0.483914356975709	0.483914356975709	0.000795544948289578	0.000465766185374942	0.000556792873051225	0.00104384133611691	0.00104384133611691
"leucine (C_s)"	0.747438213793671	0.483874656101279	0	0.358099736483789	0.358099736483789	0.000794912559618442	0.000735835172921266	0.000542005420054201	0.000707714083510262	0.000707714083510262
"tRNA(pro) (C_c)"	0.747438213793671	0.216975899797862	0	0.445195984657139	0.445195984657139	0.00079428117553614	0.000694927032661571	0.000542005420054201	0.000978473581213307	0.000978473581213307
"L-prolyl-tRNA(pro) (C_c)"	0.747438213793671	0.216975899797862	0	0.445195984657139	0.445195984657139	0.00079428117553614	0.000694927032661571	0.000542005420054201	0.000978473581213307	0.000978473581213307
"10,11-dihydro-LTB4 (C_r)"	0.747438213793671	0.0624670633997554	0	0.413030324524232	0.413030324524232	0.00079428117553614	0.000485908649173955	0.000556792873051225	0.00100200400801603	0.00100200400801603
"formamidopyrimidine nucleoside triphosphate (C_c)"	0.747438213793671	0	0.978893431567878	1.22337144657985	1.22337144657985	0.00079428117553614	0.000391389432485323	0.00189035916824197	0.00274725274725275	0.00274725274725275
"H+ (C_l)"	0.747438213793671	0.0759689531457362	0	1.14806932135973	1.14806932135973	0.000791765637371338	0.000760456273764259	0.000542005420054201	0.002710027100271	0.002710027100271
"L-cystathionine (C_c)"	0.737382818461426	0	0.962613347417623	0.60899428164829	0.60899428164829	0.000791139240506329	0.000391389432485323	0.00212314225053079	0.00123915737298637	0.00123915737298637
"H2S (C_c)"	0.737382818461426	0	0.962613347417623	0.60899428164829	0.60899428164829	0.000791139240506329	0.000391389432485323	0.00212314225053079	0.00123915737298637	0.00123915737298637
"selenocystathionine (C_c)"	0.737382818461426	0	0.962613347417623	0.60899428164829	0.60899428164829	0.000791139240506329	0.000391389432485323	0.00212314225053079	0.00123915737298637	0.00123915737298637
"[protein]-L-serine (C_r)"	0.710634048479968	0.585611673068925	0			0.000789265982636148	0.00223713646532438	0.000542005420054201	0.000305343511450382	0.000305343511450382
"Xyl-L-Ser-[protein] (C_r)"	0.710634048479968	0.585611673068925	0			0.000789265982636148	0.00223713646532438	0.000542005420054201	0.000305343511450382	0.000305343511450382
"homovanillate (C_c)"	0.629505415034313	0.159041216444197	0	0.0914720899572343	0.0914720899572343	0.000788022064617809	0.000500751126690035	0.000636132315521629	0.000390015600624025	0.000390015600624025
"2-phenylacetamide (C_c)"	0.769832183653808	0	0.616795228851352	1.35917086913861	1.35917086913861	0.00078740157480315	0.000407166123778502	0.00088809946714032	0.00574712643678161	0.00574712643678161
